HS6,HS6_name,k,k_name_short,k_name,Sub_sector_name,Sector_name,Excluded_from,Reason
050590,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excl. feathers used for stuffing and down)",050590,Birds' skins with feathers & down,"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, whether or not with trimmed edges, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of feathers (excl. feathers used for stuffing and down)",Animal products (not edible),Animals & animal products,,
050610,Ossein and bones treated with acid,050610,Ossein & bones,Ossein and bones treated with acid,Animal products (not edible),Animals & animal products,,
050690,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply prepared (excl. ossein and bones treated with acid and cut to shape)",050690,Bones & horn-cores,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply prepared (excl. ossein and bones treated with acid and cut to shape)",Animal products (not edible),Animals & animal products,,
050710,"Ivory, unworked or simply prepared, its powder and waste (excl. cut to shape)",050710,"Ivory, unworked","Ivory, unworked or simply prepared, its powder and waste (excl. cut to shape)",Animal products (not edible),Animals & animal products,,
050790,"Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared, their powder and waste (excl. cut to shape and ivory)",050790,"Tortoiseshell, whalebone, horns, etc.","Tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared, their powder and waste (excl. cut to shape and ivory)",Animal products (not edible),Animals & animal products,,
050800,"Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape",050800,"Coral, shells & similar, unworked","Coral and similar materials, shells of molluscs, crustaceans or echinoderms, cuttle-bone, powder and waste thereof, unworked or simply prepared but not otherwise worked or cut to shape",Animal products (not edible),Animals & animal products,,
051000,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved",051000,Animal secretions & derivatives,"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other animal products used in the preparation of pharmaceutical products, fresh, chilled, frozen or otherwise provisionally preserved","Eggs, honey and edible animal products n.e.s.",Animals & animal products,,
051110,Bovine semen,051110,Bovine semen,Bovine semen,Animal products (not edible),Animals & animal products,,
051191,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption",051191,Unedible fish products,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption",Animal products (not edible),Animals & animal products,,
051199,"Products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs or other aquatic invertebrates)",051199,"Unedible animal products, n.e.s.","Products of animal origin, n.e.s., dead animals, unfit for human consumption (excl. fish, crustaceans, molluscs or other aquatic invertebrates)",Animal products (not edible),Animals & animal products,,
060110,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excl. those used for human consumption and chicory plants and roots)",060110,"Dormant unedible bulbs, tubers, etc.","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant (excl. those used for human consumption and chicory plants and roots)","Live plants, flowers, foliage",Horticulture,,
060120,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots (excl. those used for human consumption and chicory roots of the variety cichorium intybus sativum)",060120,"Growing unedible bulbs, tubers, etc.","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots (excl. those used for human consumption and chicory roots of the variety cichorium intybus sativum)","Live plants, flowers, foliage",Horticulture,,
060210,Unrooted cuttings and slips,060210,Unrooted cuttings & slips,Unrooted cuttings and slips,"Live plants, flowers, foliage",Horticulture,,
060220,"Edible fruit or nut trees, shrubs and bushes, whether or not grafted",060220,Edible fruit or nut trees,"Edible fruit or nut trees, shrubs and bushes, whether or not grafted","Live plants, flowers, foliage",Horticulture,,
060230,"Rhododendrons and azaleas, grafted or not",060230,Rhododendrons & azaleas,"Rhododendrons and azaleas, grafted or not","Live plants, flowers, foliage",Horticulture,,
060240,"Roses, whether or not grafted",060240,Roses,"Roses, whether or not grafted","Live plants, flowers, foliage",Horticulture,,
060290,"Live plants, incl. their roots, and mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, crowns and rhizomes, incl. chicory plants and roots, unrooted cuttings and slips, fruit and nut trees, rhododendrons, azaleas and roses)",060290,Live plants & mushroom spawns,"Live plants, incl. their roots, and mushroom spawn (excl. bulbs, tubers, tuberous roots, corms, crowns and rhizomes, incl. chicory plants and roots, unrooted cuttings and slips, fruit and nut trees, rhododendrons, azaleas and roses)","Live plants, flowers, foliage",Horticulture,,
060311,"Fresh cut roses and buds, of a kind suitable for bouquets or for ornamental purposes",060311,"Cut roses & buds, fresh","Fresh cut roses and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060312,"Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes",060312,"Cut carnations & buds, fresh","Fresh cut carnations and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060313,"Fresh cut orchids and buds, of a kind suitable for bouquets or for ornamental purposes",060313,"Cut orchids & buds, fresh","Fresh cut orchids and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060314,"Fresh cut chrysanthemums and buds, of a kind suitable for bouquets or for ornamental purposes",060314,"Cut chrysanthemums & buds, fresh","Fresh cut chrysanthemums and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060315,"Fresh cut lilies ""Lilium spp."" and buds, of a kind suitable for bouquets or for ornamental purposes",0603XX,"Cut flowers & buds, fresh, n.e.s.","Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060319,"Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes (excl. roses, carnations, orchids, chrysanthemums and lilies)",0603XX,"Cut flowers & buds, fresh, n.e.s.","Fresh cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060390,"Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes",060390,"Cut flowers & buds, not fresh","Dried, dyed, bleached, impregnated or otherwise prepared cut flowers and buds, of a kind suitable for bouquets or for ornamental purposes","Live plants, flowers, foliage",Horticulture,,
060410,"Mosses and lichens for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",0604,"Ornamental plants, excl flowers & buds","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Live plants, flowers, foliage",Horticulture,,
060420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh",0604,"Ornamental plants, excl flowers & buds","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Live plants, flowers, foliage",Horticulture,,
060490,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",0604,"Ornamental plants, excl flowers & buds","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Live plants, flowers, foliage",Horticulture,,
060491,"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, fresh, for bouquets or ornamental purposes",0604,"Ornamental plants, excl flowers & buds","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Live plants, flowers, foliage",Horticulture,,
060499,"Foliage, branches and other parts of plants, without flowers or flower buds, grasses, for bouquets or ornamental purposes, dried, dyed, bleached, impregnated or otherwise prepared",0604,"Ornamental plants, excl flowers & buds","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Live plants, flowers, foliage",Horticulture,,
070110,Seed potatoes,070110,Seed potatoes,Seed potatoes,Vegetables,Horticulture,,
070190,Fresh or chilled potatoes (excl. seed),070190,"Potatoes, fresh",Fresh or chilled potatoes (excl. seed),Vegetables,Horticulture,,
070200,"Tomatoes, fresh or chilled",070200,"Tomatoes, fresh","Tomatoes, fresh or chilled",Vegetables,Horticulture,,
070310,Fresh or chilled onions and shallots,070310,"Onions & shallots, fresh",Fresh or chilled onions and shallots,Vegetables,Horticulture,,
070320,"Garlic, fresh or chilled",070320,"Garlic, fresh","Garlic, fresh or chilled",Vegetables,Horticulture,,
070390,"Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)",070390,"Leeks & alliaceous vegetables, fresh, n.e.s.","Leeks and other alliaceous vegetables, fresh or chilled (excl. onions, shallots and garlic)",Vegetables,Horticulture,,
