# geodist_l1 — capital-to-capital great-circle distance (haversine, km).
# sources: mledoze/countries@c8015eebdd94c533358406b0d709f441389e1f2e (countries.json: cca3, capital, latlng); lutangar/cities.json@e66576247c5d26b1fc65d96a499acff3c3fef827 (cities.json, GeoNames-derived, CC BY 4.0: capital coordinates).
# basis: capital = both endpoints matched a capital city; centroid = at least one endpoint fell back to the country centroid.
# built by tools/build_geodist.py; threshold for «قريبة جغرافياً» lives in the template rules, not here.
iso3_a,iso3_b,distcap_km,basis
AFG,MUS,6205.3,capital
AFG,MWI,6560.8,capital
AFG,MYS,4842.9,capital
AFG,MYT,5836.7,capital
AFG,NAM,8397.6,capital
AFG,NCL,12025.0,capital
AFG,NER,7072.0,capital
AFG,NFK,12528.0,capital
AFG,NGA,6852.5,capital
AFG,NIC,14214.2,capital
AFG,NIU,13988.9,capital
AFG,NLD,5354.1,capital
AFG,NOR,5007.5,capital
AFG,NPL,1711.5,capital
AFG,NRU,10752.0,capital
AFG,NZL,13645.6,capital
AFG,OMN,1602.6,capital
AFG,PAK,367.4,capital
AFG,PAN,14160.2,capital
AFG,PCN,17883.9,capital
AFG,PER,15787.6,capital
AFG,PHL,5617.5,capital
AFG,PLW,7292.7,capital
AFG,PNG,9523.4,capital
AFG,POL,4260.1,capital
AFG,PRI,12461.3,capital
AFG,PRK,4983.0,capital
AFG,PRT,6783.8,capital
AFG,PRY,14846.1,capital
AFG,PSE,3158.7,capital
AFG,PYF,15743.2,capital
AFG,QAT,1982.3,capital
AFG,REU,6329.9,capital
AFG,ROU,3808.4,capital
AFG,RUS,3366.4,capital
AFG,RWA,5750.5,capital
AFG,SAU,2422.9,capital
AFG,SDN,4217.0,capital
AFG,SEN,8784.4,capital
AFG,SGP,5155.3,capital
AFG,SGS,14065.2,centroid
AFG,SHN,9682.6,capital
AFG,SJM,5458.9,capital
AFG,SLB,10670.9,capital
AFG,SLE,8781.2,capital
AFG,SLV,14186.4,capital
AFG,SMR,4902.7,centroid
AFG,SOM,4375.5,capital
AFG,SPM,9454.9,capital
AFG,SRB,4254.8,capital
AFG,SSD,5081.6,capital
AFG,STP,7493.3,capital
AFG,SUR,12659.6,capital
AFG,SVK,4506.2,capital
AFG,SVN,4711.9,capital
AFG,SWE,4591.0,capital
AFG,SWZ,7873.3,capital
AFG,SXM,12292.6,capital
AFG,SYC,4584.3,capital
AFG,SYR,3019.2,capital
AFG,TCA,12509.3,capital
AFG,TCD,5980.0,capital
AFG,TGO,7606.4,capital
AFG,THA,3901.2,capital
AFG,TJK,447.0,capital
AFG,TKL,13204.6,centroid
AFG,TKM,1038.9,capital
AFG,TLS,7617.1,capital
AFG,TON,13574.9,centroid
AFG,TTO,12789.7,capital
AFG,TUN,5249.7,capital
AFG,TUR,3248.0,capital
AFG,TUV,12374.1,capital
AFG,TWN,5104.2,capital
AFG,TZA,5725.8,capital
AFG,UGA,5376.1,capital
AFG,UKR,3574.0,capital
AFG,UMI,9456.6,centroid
AFG,UNK,4210.4,capital
AFG,URY,15085.9,capital
AFG,USA,11825.0,centroid
AFG,UZB,749.1,capital
AFG,VAT,4931.9,capital
AFG,VCT,12566.4,capital
AFG,VEN,13197.6,capital
AFG,VGB,12365.7,capital
AFG,VIR,12393.8,capital
AFG,VNM,3880.5,capital
AFG,VUT,11710.3,centroid
AFG,WLF,13086.4,capital
AFG,WSM,13522.1,capital
AFG,YEM,3033.6,centroid
AFG,ZAF,7972.8,capital
AFG,ZMB,7034.6,capital
AFG,ZWE,7080.1,capital
AGO,AIA,8890.7,capital
AGO,ALA,7688.1,capital
AGO,ALB,5618.5,capital
AGO,AND,5832.1,capital
AGO,ARE,5798.8,capital
AGO,ARG,7771.5,capital
AGO,ARM,6326.7,capital
AGO,ASM,17408.4,capital
AGO,ATA,9024.9,centroid
AGO,ATF,6909.9,capital
AGO,ATG,8731.7,centroid
AGO,AUS,13273.4,capital
AGO,AUT,6350.6,capital
AGO,AZE,6639.7,capital
AGO,BDI,1940.1,capital
AGO,BEL,6692.0,capital
AGO,BEN,2072.5,capital
AGO,BES,9302.5,capital
AGO,BFA,2867.3,capital
AGO,BGD,9118.6,capital
AGO,BGR,5821.2,capital
AGO,BHR,5610.0,capital
AGO,BHS,10480.0,capital
AGO,BIH,5881.1,capital
AGO,BLM,8861.4,capital
AGO,BLR,7105.2,capital
AGO,BLZ,11563.1,capital
AGO,BMU,9424.8,capital
AGO,BOL,8487.2,capital
AGO,BRA,6668.8,capital
AGO,BRB,8405.1,capital
AGO,BRN,11374.0,capital
AGO,BTN,9143.6,capital
AGO,BVT,5145.0,centroid
AGO,BWA,2213.5,capital
AGO,CAF,1581.7,capital
AGO,CAN,10623.2,capital
AGO,CCK,9111.2,capital
AGO,CHE,6229.4,capital
AGO,CHL,8902.7,capital
AGO,CHN,11757.0,capital
AGO,CIV,2690.7,capital
AGO,CMR,1425.3,capital
AGO,COD,551.5,capital
AGO,COG,556.3,capital
AGO,COK,16588.2,capital
AGO,COL,9792.3,capital
AGO,COM,3298.5,capital
AGO,CPV,4836.2,capital
AGO,CRI,11098.5,capital
AGO,CUB,10962.3,capital
AGO,CUW,9368.2,capital
AGO,CXR,10094.6,capital
AGO,CYM,10810.4,capital
AGO,CYP,5330.5,capital
AGO,CZE,6553.2,capital
AGO,DEU,6823.1,capital
AGO,DJI,4011.9,capital
AGO,DMA,8645.3,capital
AGO,DNK,7173.8,capital
AGO,DOM,9602.8,capital
AGO,DZA,5176.6,capital
AGO,ECU,10196.9,capital
AGO,EGY,4734.8,capital
AGO,ERI,3904.0,capital
AGO,ESH,4673.1,centroid
AGO,ESP,5746.3,capital
AGO,EST,7661.0,capital
AGO,ETH,3453.6,capital
AGO,FIN,7742.7,capital
AGO,FJI,16603.5,capital
AGO,FLK,7938.8,capital
AGO,FRA,6502.7,capital
AGO,FRO,8065.6,capital
AGO,FSM,16147.5,capital
AGO,GAB,1108.4,capital
AGO,GBR,6831.5,capital
AGO,GEO,6476.5,capital
AGO,GGY,6663.6,centroid
AGO,GHA,2185.9,capital
AGO,GIB,5366.6,capital
AGO,GIN,3612.7,capital
AGO,GLP,8698.4,capital
AGO,GMB,4119.9,capital
AGO,GNB,3931.5,capital
AGO,GNQ,1484.7,capital
AGO,GRC,5319.1,capital
AGO,GRD,8598.2,centroid
AGO,GRL,9727.9,capital
AGO,GTM,11723.1,capital
AGO,GUF,7427.8,capital
AGO,GUM,14708.5,capital
AGO,GUY,8100.2,capital
AGO,HKG,11499.0,centroid
AGO,HMD,7204.5,centroid
AGO,HND,11362.5,capital
AGO,HRV,6083.1,capital
AGO,HTI,9858.1,capital
AGO,HUN,6290.4,capital
AGO,IDN,10295.8,capital
AGO,IMN,7198.6,capital
AGO,IND,8020.1,capital
AGO,IOT,6426.5,centroid
AGO,IRL,7154.0,capital
AGO,IRN,6364.7,capital
AGO,IRQ,5731.4,capital
AGO,ISL,8631.5,capital
AGO,ISR,5084.1,capital
AGO,ITA,5641.3,capital
AGO,JAM,10313.0,capital
AGO,JEY,6623.4,capital
AGO,JOR,5137.7,capital
AGO,JPN,13844.6,capital
AGO,KAZ,8681.6,capital
AGO,KEN,2741.7,capital
AGO,KGZ,8446.1,capital
AGO,KHM,10384.9,capital
AGO,KIR,17628.7,centroid
AGO,KNA,8833.6,capital
AGO,KOR,12692.2,capital
AGO,KWT,5646.4,capital
AGO,LAO,10243.2,capital
AGO,LBN,5300.7,capital
AGO,LBR,3150.9,capital
AGO,LBY,4639.5,capital
AGO,LCA,8573.1,capital
AGO,LIE,6235.3,capital
AGO,LKA,7587.5,capital
AGO,LSO,2719.2,capital
AGO,LTU,7153.0,capital
AGO,LUX,6535.6,capital
AGO,LVA,7382.1,capital
AGO,MAC,11432.7,centroid
AGO,MAF,8889.7,capital
AGO,MAR,5213.8,capital
AGO,MCO,5875.4,capital
AGO,MDA,6399.6,capital
AGO,MDG,3860.1,capital
AGO,MDV,6836.2,capital
AGO,MEX,12668.5,capital
AGO,MHL,17601.0,capital
AGO,MKD,5713.8,capital
AGO,MLI,3343.2,capital
AGO,MLT,4976.3,capital
AGO,MMR,9841.7,centroid
AGO,MNE,5734.7,capital
AGO,MNG,11006.5,capital
AGO,MNP,14812.8,capital
AGO,MOZ,2792.5,capital
AGO,MRT,4386.9,capital
AGO,MSR,8765.9,capital
AGO,MTQ,8595.1,capital
AGO,MUS,4912.1,capital
AGO,MWI,2310.5,capital
AGO,MYS,9891.4,capital
AGO,MYT,3519.5,capital
AGO,NAM,1580.2,capital
AGO,NCL,15488.7,capital
AGO,NER,2772.1,capital
AGO,NFK,15006.1,capital
AGO,NGA,2088.8,capital
AGO,NIC,11235.0,capital
AGO,NIU,16894.7,capital
AGO,NLD,6852.7,capital
AGO,NOR,7647.8,capital
AGO,NPL,8739.8,capital
AGO,NRU,16919.5,capital
AGO,NZL,14130.7,capital
AGO,OMN,6089.5,capital
AGO,PAK,7878.3,capital
AGO,PAN,10459.7,capital
AGO,PCN,14539.9,capital
AGO,PER,9831.5,capital
AGO,PHL,12151.6,capital
AGO,PLW,13568.8,capital
AGO,PNG,14521.7,capital
AGO,POL,6830.8,capital
AGO,PRI,9210.9,capital
AGO,PRK,12565.0,capital
AGO,PRT,5773.7,capital
AGO,PRY,7673.3,capital
AGO,PSE,5096.0,capital
AGO,PYF,16526.7,capital
AGO,QAT,5619.4,capital
AGO,REU,4714.1,capital
AGO,ROU,6063.1,capital
AGO,RUS,7527.5,capital
AGO,RWA,2012.7,capital
AGO,SAU,5203.3,capital
AGO,SDN,3445.7,capital
AGO,SEN,4276.2,capital
AGO,SGP,10097.2,capital
AGO,SGS,6729.6,centroid
AGO,SHN,2202.3,capital
AGO,SJM,9681.8,capital
AGO,SLB,15807.0,capital
AGO,SLE,3508.2,capital
AGO,SLV,11570.5,capital
AGO,SMR,5849.8,centroid
AGO,SOM,3758.3,capital
AGO,SPM,9202.6,capital
AGO,SRB,6008.6,capital
AGO,SSD,2540.5,capital
AGO,STP,1248.9,capital
AGO,SUR,7755.8,capital
AGO,SVK,6347.9,capital
AGO,SVN,6104.6,capital
AGO,SWE,7592.0,capital
AGO,SWZ,2725.2,capital
AGO,SXM,8884.8,capital
AGO,SYC,4683.3,capital
AGO,SYR,5301.8,capital
AGO,TCA,9791.4,capital
AGO,TCD,2337.4,capital
AGO,TGO,2131.3,capital
AGO,THA,9948.7,capital
AGO,TJK,7786.6,capital
AGO,TKL,17948.7,centroid
AGO,TKM,6997.6,capital
AGO,TLS,12275.7,capital
AGO,TON,16684.3,centroid
AGO,TTO,8549.1,capital
AGO,TUN,5086.8,capital
AGO,TUR,5785.4,capital
AGO,TUV,17536.1,capital
AGO,TWN,12258.5,capital
AGO,TZA,2498.1,capital
AGO,UGA,2372.5,capital
AGO,UKR,6801.6,capital
AGO,UMI,16924.9,centroid
AGO,UNK,5784.0,capital
AGO,URY,7574.1,capital
AGO,USA,12380.3,centroid
AGO,UZB,7971.2,capital
AGO,VAT,5642.5,capital
AGO,VCT,8576.1,capital
AGO,VEN,9120.0,capital
AGO,VGB,9056.8,capital
AGO,VIR,9086.8,capital
AGO,VNM,10626.9,capital
AGO,VUT,16019.1,centroid
AGO,WLF,17345.2,capital
AGO,WSM,17434.6,capital
AGO,YEM,4659.0,centroid
AGO,ZAF,2455.7,capital
AGO,ZMB,1791.0,capital
AGO,ZWE,2169.3,capital
AIA,ALA,7873.3,capital
AIA,ALB,8100.4,capital
AIA,AND,6584.4,capital
AIA,ARE,11744.5,capital
AIA,ARG,5895.3,capital
AIA,ARM,10118.4,capital
AIA,ASM,12327.4,capital
AIA,ATA,12033.2,centroid
AIA,ATF,14611.6,capital
AIA,ATG,186.0,centroid
AIA,AUS,16323.9,capital
AIA,AUT,7734.9,capital
AIA,AZE,10515.4,capital
AIA,BDI,10441.2,capital
AIA,BEL,6869.8,capital
AIA,BEN,7215.6,capital
AIA,BES,875.9,capital
AIA,BFA,6602.8,capital
AIA,BGD,14535.5,capital
AIA,BGR,8357.9,capital
AIA,BHR,11313.6,capital
AIA,BHS,1659.3,capital
AIA,BIH,7940.2,capital
AIA,BLM,41.9,capital
AIA,BLR,8420.8,capital
AIA,BLZ,2722.5,capital
AIA,BMU,1574.9,capital
AIA,BOL,4149.0,capital
AIA,BRA,4127.4,capital
AIA,BRB,676.9,capital
AIA,BRN,17436.3,capital
AIA,BTN,14145.2,capital
AIA,BVT,10221.7,centroid
AIA,BWA,10740.8,capital
AIA,CAF,8971.4,capital
AIA,CAN,3241.9,capital
AIA,CCK,17755.2,capital
AIA,CHE,7070.5,capital
AIA,CHL,5802.1,capital
AIA,CHN,13551.7,capital
AIA,CIV,6373.5,capital
AIA,CMR,8244.8,capital
AIA,COD,8936.5,capital
AIA,COG,8931.0,capital
AIA,COK,11399.0,capital
AIA,COL,1930.1,capital
AIA,COM,12114.2,capital
AIA,CPV,4222.5,capital
AIA,CRI,2506.7,capital
AIA,CUB,2081.5,capital
AIA,CUW,922.0,capital
AIA,CXR,18524.8,capital
AIA,CYM,1931.4,capital
AIA,CYP,9411.8,capital
AIA,CZE,7579.7,capital
AIA,DEU,7501.3,capital
AIA,DJI,11269.9,capital
AIA,DMA,369.7,capital
AIA,DNK,7447.0,capital
AIA,DOM,721.9,capital
AIA,DZA,6709.6,capital
AIA,ECU,2658.1,capital
AIA,EGY,9402.3,capital
AIA,ERI,10694.4,capital
AIA,ESH,5203.7,centroid
AIA,ESP,6133.4,capital
AIA,EST,8148.8,capital
AIA,ETH,10920.9,capital
AIA,FIN,8148.1,capital
AIA,FJI,13553.4,capital
AIA,FLK,7790.2,capital
AIA,FRA,6704.6,capital
AIA,FRO,6497.5,capital
AIA,FSM,14698.9,capital
AIA,GAB,8149.1,capital
AIA,GBR,6570.4,capital
AIA,GEO,10071.2,capital
AIA,GGY,6359.5,centroid
AIA,GHA,6951.3,capital
AIA,GIB,5953.8,capital
AIA,GIN,5401.2,capital
AIA,GLP,284.2,capital
AIA,GMB,4987.8,capital
